twotheta, intensity, esd
45.752, 259.538511722, 15.9117693648
45.753, 243.74117996, 15.4450542034
45.754, 254.665865002, 15.7619071901
45.755, 256.169065204, 15.8246517312
45.756, 243.912517771, 15.4249628272
45.757, 268.599895975, 16.1955439199
45.758, 281.476217349, 16.58438721
45.759, 293.177824867, 16.9247608077
45.76, 266.959439516, 16.1554969996
45.761, 263.26338327, 16.0201072918
45.762, 254.452693211, 15.7789761848
45.763, 261.549271856, 15.9750888469
45.764, 261.848681715, 15.9933764112
45.765, 252.209868246, 15.7004096746
45.766, 251.300366999, 15.6742035898
45.767, 271.909773426, 16.3063960183
45.768, 276.280262574, 16.4214464509
45.769, 289.654858123, 16.8340126587
45.77, 281.983072552, 16.5854753819
45.771, 266.823092563, 16.1472457357
45.772, 259.159321323, 15.91847796
45.773, 235.179805049, 15.179450312
45.774, 253.439051378, 15.7464353662
45.775, 245.885953724, 15.4879226655
45.776, 288.496724044, 16.7951050989
45.777, 286.114829896, 16.7132044602
45.778, 275.447282867, 16.4009447076
45.779, 305.596005154, 17.2713177576
45.78, 281.588997367, 16.5910321319
45.781, 262.7319103, 16.0473228627
45.782, 285.40869784, 16.7004858507
45.783, 308.999494624, 17.3805581367
45.784, 268.369919818, 16.1816772393
45.785, 259.477235761, 15.9080126623
45.786, 316.396134396, 17.575467089
45.787, 287.61138666, 16.77202181
45.788, 298.501667243, 17.0902372141
45.789, 298.848364681, 17.1100868233
45.79, 323.18809076, 17.788758202
45.791, 272.310828457, 16.301148934
45.792, 320.549418934, 17.6972442426
45.793, 259.424201479, 15.8749432598
45.794, 280.375134696, 16.5195121693
45.795, 289.951815038, 16.7946155969
45.796, 301.422641279, 17.1453849858
45.797, 351.155047589, 18.5050440019
45.798, 314.743972802, 17.510741346
45.799, 289.750883734, 16.8112138508
45.8, 299.852453446, 17.0837425548
45.801, 305.954770928, 17.2640313649
45.802, 291.68527958, 16.8667390742
45.803, 266.815192686, 16.1172698914
45.804, 308.649210586, 17.3608554116
45.805, 284.972804987, 16.6749798922
45.806, 284.488683307, 16.6466518583
45.807, 321.207746131, 17.6797570575
45.808, 258.072980292, 15.8517510691
45.809, 277.70709251, 16.4771618559
45.81, 314.786996889, 17.5131349857
45.811, 282.254234884, 16.6014244109
45.812, 329.885361151, 17.9677719714
45.813, 289.444892809, 16.7934603972
45.814, 290.215088478, 16.8098649452
45.815, 278.693321999, 16.477747074
45.816, 262.360609124, 15.9948250657
45.817, 290.531804189, 16.8282097817
45.818, 273.872992707, 16.3653552635
45.819, 311.275234055, 17.3987653359
45.82, 263.785891411, 16.0222536388
45.821, 281.834079642, 16.5767120253
45.822, 274.5883425, 16.3788732256
45.823, 280.262112175, 16.5416020686
45.824, 276.146800295, 16.4135137682
45.825, 288.783602324, 16.7833774606
45.826, 281.837859241, 16.576934331
45.827, 284.487158712, 16.6465626477
45.828, 285.23617131, 16.6618782126
45.829, 292.371575241, 16.8782171031
45.83, 258.001437167, 15.8773480469
45.831, 298.138814194, 17.0415422653
45.832, 305.393454797, 17.2598702534
45.833, 284.918826903, 16.6433407535
45.834, 297.785889728, 17.0492565132
45.835, 259.364507914, 15.9011015512
45.836, 271.821946626, 16.2718833496
45.837, 259.535725823, 15.9115985671
45.838, 247.629789848, 15.5362225111
45.839, 282.305970733, 16.5758081569
45.84, 264.680104823, 16.0469821846
45.841, 253.345247531, 15.710301891
45.842, 221.549669626, 14.703539612
45.843, 251.379225611, 15.6487010332
45.844, 271.668606579, 16.2919332719
45.845, 239.657435379, 15.2786166605
45.846, 238.971826683, 15.26597341
45.847, 254.561343958, 15.7554381213
45.848, 274.33250409, 16.3636127639
45.849, 243.153312328, 15.4078030199
45.85, 243.083454757, 15.4033763819
45.851, 255.865630509, 15.8059072806
45.852, 267.986542438, 16.1585610532
45.853, 236.035621506, 15.1715931134
45.854, 248.550909742, 15.56340105
45.855, 248.686913158, 15.571917115
45.856, 251.740817507, 15.6712106238
45.857, 235.522583782, 15.1699977253
45.858, 271.457024963, 16.2792447481
45.859, 264.783254547, 16.0828330923
45.86, 258.000743697, 15.8773053709
45.861, 259.228252008, 15.8927479834
45.862, 266.450643685, 16.1247063689
45.863, 281.096156528, 16.561994285
45.864, 244.834474805, 15.4523875143
45.865, 246.962275988, 15.555718307
45.866, 260.334168911, 15.9306268902
45.867, 236.299323668, 15.1885430207
45.868, 259.026911294, 15.8804042007
45.869, 240.056235149, 15.3040409033
45.87, 247.680927917, 15.539430899
45.871, 249.675064016, 15.603221345
45.872, 250.903600386, 15.6494563092
45.873, 227.509213997, 14.9033461345
45.874, 243.416781535, 15.4244981724
